PLAYER_NAME,SEASON,USG_PCT,DEPENDENCE_SCORE,ASSISTED_FGM_PCT,OPEN_SHOT_FREQUENCY,SELF_CREATED_USAGE_RATIO,DEPENDENCE_CATEGORY
Ja Morant,2019-20,0.256,0.32025173253865596,0.19263698630136983,0.1824034334763948,0.28257705479452055,Low
James Harden,2019-20,0.356,0.24447825938129264,0.11593435680254105,0.0727436012572968,0.3094229751191106,Low
De'Aaron Fox,2019-20,0.29,0.30229284353189234,0.15915915915915924,0.1777221526908635,0.29429429429429427,Low
Trae Young,2019-20,0.339,0.2870758821538939,0.11519198664440722,0.1954851104707012,0.30968280467445747,Low
DeMar DeRozan,2019-20,0.262,0.26121380788658927,0.1606133979015335,0.0583279325988334,0.29378531073446323,Low
Tyler Zeller,2019-20,0.267,0.7375,1.0,0.25,0.0,High
Derrick Rose,2019-20,0.303,0.23644441255236953,0.10671936758893275,0.0626249167221852,0.31264822134387354,Low
Dewan Hernandez,2019-20,0.257,0.6003193184446558,0.7964071856287426,0.1416309012875536,0.07125748502994009,High
Jeremiah Martin,2019-20,0.268,,0.2552301255230125,,0.26066945606694564,
Jeremy Pargo,2019-20,0.268,0.2962278127864758,0.1763668430335097,0.1364256480218281,0.2882716049382716,Low
Dusty Hannahs,2019-20,0.286,0.4741666666666667,0.4,0.3333333333333333,0.21,High
Malik Newman,2019-20,0.571,0.58125,0.5,0.5,0.175,High
Nikola Vučević,2020-21,0.292,0.6597090156569401,0.825224071702945,0.2711779448621554,0.06117157490396924,High
Kristaps Porziņģis,2020-21,0.259,0.6812515001237025,0.9178541492036882,0.2183763373190686,0.04928751047778708,High
Nikola Jokić,2020-21,0.293,0.5763466777053734,0.7702702702702703,0.1095426312817617,0.08040540540540539,High
Karl-Anthony Towns,2020-21,0.286,0.6370722126929674,0.823327615780446,0.2091428571428571,0.061835334476843896,High
Christian Wood,2020-21,0.255,0.6355092847358006,0.8111401218450827,0.2216527866752082,0.06610095735422106,High
Anthony Davis,2020-21,0.287,0.5656923822014728,0.7309885931558936,0.1338155515370705,0.09415399239543723,High
Joel Embiid,2020-21,0.352,0.5925298781622024,0.7490234375,0.1853741496598639,0.08784179687499999,High
Jaren Jackson Jr.,2020-21,0.252,0.6827093991179121,0.8557457212713937,0.3201407211961301,0.08655256723716377,High
Jaylen Brown,2020-21,0.29,0.44812597666148213,0.484996510816469,0.1405433646812957,0.18025122121423584,Moderate
Jerami Grant,2020-21,0.278,0.5036145507579688,0.5765611633875107,0.1715456674473068,0.1482035928143712,High
Stephen Curry,2020-21,0.331,0.4021920494495915,0.3943496174220129,0.1355617455896007,0.21197763390229546,Moderate
Bradley Beal,2020-21,0.331,0.3858900075987842,0.375,0.1159357359965262,0.21875,Moderate
Julius Randle,2020-21,0.285,0.4364139290449103,0.46377952755905516,0.1366325981710597,0.18767716535433068,Moderate
Pascal Siakam,2020-21,0.261,0.4417118201886414,0.41501103752759383,0.2196969696969697,0.20474613686534215,Moderate
Andre Drummond,2020-21,0.269,0.5385760869565217,0.7391304347826086,0.045,0.09130434782608694,High
Kevin Durant,2020-21,0.303,0.4132670650738983,0.4764756201881951,0.052814857806152,0.1832335329341317,Moderate
Paul George,2020-21,0.296,0.40029752467238305,0.39428571428571424,0.1302378255945639,0.212,Moderate
LeBron James,2020-21,0.31,0.3883535815916868,0.35127478753541075,0.1560203504804974,0.2270538243626062,Moderate
